Handle,Title,Type,Tags,Vendor,Published,Variant Price,Image Src,Variant SKU
cabo-wabo-tequila-blanco,Cabo Wabo Tequila Blanco 750ml,Tequila,"tequila, blanco",Cabo Wabo,TRUE,75.39,https://www.liquorstore-online.com/product_images/p_144774.webp,1039669*
cabrito-tequila-blanco,Cabrito Tequila Blanco 750ml,Tequila,"tequila, blanco",Cabrito Tequila,TRUE,57.59,https://www.liquorstore-online.com/product_images/p_144126.webp,1767634*
calirosa-reposado-tequila-750ml,CaliRosa Reposado Tequila 750ml,Tequila,"tequila, reposado",Calirosa,TRUE,92.49,https://www.liquorstore-online.com/product_images/p_187017.webp,6401e7deb76b875202d1456c
calirosa-rosa-blanco-750ml,Calirosa Rosa Blanco 750ml,Tequila,"tequila, blanco",Calirosa Tequila,TRUE,84.48,https://www.liquorstore-online.com/product_images/p_187024.webp,60e7755d0f9ef62ba0d07971
calle-23-tequila-anejo,Calle 23 Tequila Anejo 750ml,Tequila,"tequila, anejo",Calle 23,TRUE,100.29,https://www.liquorstore-online.com/product_images/p_146064.webp,1591341*
calle-23-tequilla-blanco-750ml,Calle 23 Tequilla Blanco 750ml,Tequila,"tequila, blanco",Calle 23,TRUE,90.43,https://www.liquorstore-online.com/product_images/p_186241.webp,569df90269702d4e1c890000
camarena-reposado,Camarena Reposado 1.75L,Tequila,"tequila, reposado",Familia Camarena,TRUE,57.49,https://www.liquorstore-online.com/product_images/p_216424.webp,56ddc95069702d78317a0000
campeon-tequila-silver,Campeon Tequila Silver 750ml,Tequila,"tequila, blanco",Campeon Tequila,TRUE,82.39,https://www.liquorstore-online.com/product_images/p_150964.webp,2020091*
campo-azul-gran-classico-blanco-1l,Campo Azul Gran Classico Blanco 1L,Tequila,"tequila, blanco",Campo Azul,TRUE,66.48,https://www.liquorstore-online.com/product_images/p_202230.webp,597f6393d05b430690f75a2a
campo-bravo-tequila-reposado-750ml,Campo Bravo Tequila Reposado 750ml,Tequila,"tequila, reposado",Campo Bravo,TRUE,68.49,https://www.liquorstore-online.com/product_images/p_185953.webp,601072690ca3ec34aa6fc13a
cantera-extra-anejo-tequila-750ml,Cantera Extra Anejo Tequila 750ml,Tequila,"tequila, extra-anejo",Cantera Extra,TRUE,169.48,https://www.liquorstore-online.com/product_images/p_188246.webp,5b0713f9ef454b4cef6a4337
